text,category
The management values student feedback.,Positive
The communication from management is unclear.,Negative
The canteen provides healthy food options.,Positive
The canteen needs more comfortable seating.,Negative
The hostel has a great sense of community.,Positive
The hostel could use more recreational areas.,Negative
The management supports student initiatives.,Positive
The decision-making process is opaque in management.,Negative
The canteen staff is efficient and friendly.,Positive
The canteen could improve its cleanliness.,Negative
The hostel has a positive and inclusive environment.,Positive
The hostel could benefit from better heating.,Negative
The management invests in student development.,Positive
The management should be more approachable.,Negative
The canteen offers a good selection of beverages.,Positive
The food in the canteen lacks flavor.,Negative
The hostel is well-maintained and secure.,Positive
The hostel could use better soundproofing.,Negative
The management is open to student suggestions.,Positive
There is room for improvement in management's transparency.,Negative
The canteen serves high-quality food.,Positive
The canteen could use faster service.,Negative
The hostel is a comfortable place to live.,Positive
The hostel needs better ventilation.,Negative
The management actively addresses concerns.,Positive
The decision-making process in management is slow.,Negative
The canteen has a pleasant ambiance.,Positive
The food options in the canteen are limited.,Negative
The hostel staff is always helpful and polite.,Positive
The hostel could use more modern amenities.,Negative
The management encourages student involvement.,Positive
The communication from management is inconsistent.,Negative
The canteen offers a good variety of cuisines.,Positive
The food in the canteen is overpriced.,Negative
The hostel provides a supportive community.,Positive
The hostel needs better pest control.,Negative
The management values student feedback.,Positive
The communication from management is unclear.,Negative
The canteen provides healthy food options.,Positive
The canteen needs more comfortable seating.,Negative
The hostel has a great sense of community.,Positive
The hostel could use more recreational areas.,Negative
The management supports student initiatives.,Positive
The decision-making process is opaque in management.,Negative
The canteen staff is efficient and friendly.,Positive
The canteen could improve its cleanliness.,Negative
The hostel has a positive and inclusive environment.,Positive
The hostel could benefit from better heating.,Negative
The management invests in student development.,Positive
The management should be more approachable.,Negative
The canteen offers a good selection of beverages.,Positive
The food in the canteen lacks flavor.,Negative
The hostel is well-maintained and secure.,Positive
The hostel could use better soundproofing.,Negative
The management is open to student suggestions.,Positive
There is room for improvement in management's transparency.,Negative
The canteen serves high-quality food.,Positive
The canteen could use faster service.,Negative
The hostel is a comfortable place to live.,Positive
The hostel needs better ventilation.,Negative
The management actively addresses concerns.,Positive
The decision-making process in management is slow.,Negative
The canteen has a pleasant ambiance.,Positive
The food options in the canteen are limited.,Negative
The hostel staff is always helpful and polite.,Positive
The hostel could use more modern amenities.,Negative
The management encourages student involvement.,Positive
The communication from management is inconsistent.,Negative
The canteen offers a good variety of cuisines.,Positive
The food in the canteen is overpriced.,Negative
The hostel provides a supportive community.,Positive
The hostel needs better pest control.,Negative
The management values student feedback.,Positive
The communication from management is unclear.,Negative
The canteen provides healthy food options.,Positive
The canteen needs more comfortable seating.,Negative
The hostel has a great sense of community.,Positive
The hostel could use more recreational areas.,Negative
The management supports student initiatives.,Positive
The decision-making process is opaque in management.,Negative
The canteen staff is efficient and friendly.,Positive
The canteen could improve its cleanliness.,Negative
The hostel has a positive and inclusive environment.,Positive
The hostel could benefit from better heating.,Negative
The management invests in student development.,Positive
The management should be more approachable.,Negative
The canteen offers a good selection of beverages.,Positive
The food in the canteen lacks flavor.,Negative
The hostel is well-maintained and secure.,Positive
The hostel could use better soundproofing.,Negative
The management is open to student suggestions.,Positive
There is room for improvement in management's transparency.,Negative
The canteen serves high-quality food.,Positive
The canteen could use faster service.,Negative
The hostel is a comfortable place to live.,Positive
The hostel needs better ventilation.,Negative
The management actively addresses concerns.,Positive
The decision-making process in management is slow.,Negative
The canteen has a pleasant ambiance.,Positive
The food options in the canteen are limited.,Negative
The hostel staff is always helpful and polite.,Positive
The hostel could use more modern amenities.,Negative
The management encourages student involvement.,Positive
The communication from management is inconsistent.,Negative
The canteen offers a good variety of cuisines.,Positive
The food in the canteen is overpriced.,Negative
The hostel provides a supportive community.,Positive
The hostel needs better pest control.,Negative
The management values student feedback.,Positive
The communication from management is unclear.,Negative
The canteen provides healthy food options.,Positive
The canteen needs more comfortable seating.,Negative
The hostel has a great sense of community.,Positive
The hostel could use more recreational areas.,Negative
The management supports student initiatives.,Positive
The decision-making process is opaque in management.,Negative
The canteen staff is efficient and friendly.,Positive
The canteen could improve its cleanliness.,Negative
The hostel has a positive and inclusive environment.,Positive
The hostel could benefit from better heating.,Negative
The management invests in student development.,Positive
The management should be more approachable.,Negative
The canteen offers a good selection of beverages.,Positive
The food in the canteen lacks flavor.,Negative
The hostel is well-maintained and secure.,Positive
The hostel could use better soundproofing.,Negative
The management is open to student suggestions.,Positive
There is room for improvement in management's transparency.,Negative
The canteen serves high-quality food.,Positive
The canteen could use faster service.,Negative
The hostel is a comfortable place to live.,Positive
The hostel needs better ventilation.,Negative
The management actively addresses concerns.,Positive
The decision-making process in management is slow.,Negative
The canteen has a pleasant ambiance.,Positive
The food options in the canteen are limited.,Negative
The hostel staff is always helpful and polite.,Positive
The hostel could use more modern amenities.,Negative
The management encourages student involvement.,Positive
The communication from management is inconsistent.,Negative
The canteen offers a good variety of cuisines.,Positive
The food in the canteen is overpriced.,Negative
The hostel provides a supportive community.,Positive
The hostel needs better pest control.,Negative
The management values student feedback.,Positive
The communication from management is unclear.,Negative
The canteen provides healthy food options.,Positive
The canteen needs more comfortable seating.,Negative
The hostel has a great sense of community.,Positive
The hostel could use more recreational areas.,Negative
The management supports student initiatives.,Positive
The decision-making process is opaque in management.,Negative
The canteen staff is efficient and friendly.,Positive
The canteen could improve its cleanliness.,Negative
The hostel has a positive and inclusive environment.,Positive
The hostel could benefit from better heating.,Negative
The management invests in student development.,Positive
The management should be more approachable.,Negative
The canteen offers a good selection of beverages.,Positive
The food in the canteen lacks flavor.,Negative
The hostel is well-maintained and secure.,Positive
The hostel could use better soundproofing.,Negative
The management is open to student suggestions.,Positive
There is room for improvement in management's transparency.,Negative
The canteen serves high-quality food.,Positive
The canteen could use faster service.,Negative
The hostel is a comfortable place to live.,Positive
The hostel needs better ventilation.,Negative
The management actively addresses concerns.,Positive
The decision-making process in management is slow.,Negative
The canteen has a pleasant ambiance.,Positive
The food options in the canteen are limited.,Negative
The hostel staff is always helpful and polite.,Positive
The hostel could use more modern amenities.,Negative
The management encourages student involvement.,Positive
The communication from management is inconsistent.,Negative
The canteen offers a good variety of cuisines.,Positive
The food in the canteen is overpriced.,Negative
The hostel provides a supportive community.,Positive
The hostel needs better pest control.,Negative
The management values student feedback.,Positive
The communication from management is unclear.,Negative
The canteen provides healthy food options.,Positive
The canteen needs more comfortable seating.,Negative
The hostel has a great sense of community.,Positive
The hostel could use more recreational areas.,Negative
The management supports student initiatives.,Positive
The decision-making process is opaque in management.,Negative
The canteen staff is efficient and friendly.,Positive
The canteen could improve its cleanliness.,Negative
The hostel has a positive and inclusive environment.,Positive
The hostel could benefit from better heating.,Negative
The management invests in student development.,Positive
The management should be more approachable.,Negative
The canteen offers a good selection of beverages.,Positive
The food in the canteen lacks flavor.,Negative
The hostel is well-maintained and secure.,Positive
The hostel could use better soundproofing.,Negative
The management is open to student suggestions.,Positive
There is room for improvement in management's transparency.,Negative
The canteen serves high-quality food.,Positive
The canteen could use faster service.,Negative
The hostel is a comfortable place to live.,Positive
The hostel needs better ventilation.,Negative
The management actively addresses concerns.,Positive
The decision-making process in management is slow.,Negative
The canteen has a pleasant ambiance.,Positive
The food options in the canteen are limited.,Negative
The hostel staff is always helpful and polite.,Positive
The hostel could use more modern amenities.,Negative
The management encourages student involvement.,Positive
The communication from management is inconsistent.,Negative
The canteen offers a good variety of cuisines.,Positive
The food in the canteen is overpriced.,Negative
The hostel provides a supportive community.,Positive
The hostel needs better pest control.,Negative
The management values student feedback.,Positive
The communication from management is unclear.,Negative
The canteen provides healthy food options.,Positive
The canteen needs more comfortable seating.,Negative
The hostel has a great sense of community.,Positive
  The hostel's laundry facilities need improvement.    ,Negative
  The food in the canteen is often cold and stale.     ,Negative
  The management is slow to respond to urgent issues.   ,Negative
  The hostel lacks proper security measures.            ,Negative
  The canteen should introduce more healthy options.    ,Negative
  The hostel's Wi-Fi is unreliable and frustrating.    ,Negative
  The management's communication is unclear.           ,Negative
  The canteen prices are too high for the quality.     ,Negative
  The hostel's common areas are often dirty.           ,Negative
  The management needs to be more transparent.         ,Negative
  The canteen staff can be rude and unprofessional.    ,Negative
  The hostel needs better pest control measures.       ,Negative
  The management should prioritize student concerns.   ,Negative
  The canteen lacks variety in vegetarian options.     ,Negative
  The hostel's heating system is inadequate.          ,Negative
  The management should improve event organization.   ,Negative
  The canteen should provide more seating options.    ,Negative
  The hostel needs better maintenance and repairs.    ,Negative
  The management's decision-making is inconsistent.   ,Negative
  The canteen's portion sizes are too small.          ,Negative
  The hostel's lighting is insufficient in some areas. ,Negative
  The management needs to address safety concerns.    ,Negative
  The canteen's menu options are not well-balanced.   ,Negative
  The hostel should invest in better soundproofing.   ,Negative
  The management should be more accessible to students. ,Negative
  The canteen's food quality has been declining.     ,Negative
  The hostel's ventilation system is inadequate.      ,Negative
  The management should improve transparency in decisions. ,Negative
  The canteen's service is slow during peak hours.   ,Negative
  The hostel's recreational facilities are lacking.   ,Negative
  The management needs to address facility cleanliness.  ,Negative
  The canteen's prices are not justified by the quality. ,Negative
  The hostel's communal areas need better upkeep.    ,Negative
  The management should involve students in decisions. ,Negative
  The canteen's menu lacks options for special diets. ,Negative
  The hostel's furniture is old and uncomfortable.   ,Negative
  The management's response time to complaints is slow. ,Negative
  The canteen should have more seating with charging points. ,Negative
  The hostel's water pressure is consistently low.  ,Negative
  The management needs to communicate important updates. ,Negative
  The canteen's food sometimes causes stomach discomfort. ,Negative
  The hostel's study areas are not conducive to focused work. ,Negative
  The management should be more receptive to student feedback. ,Negative
  The canteen's menu lacks options for dietary restrictions. ,Negative
  The hostel's laundry machines are often out of order. ,Negative
  The management should improve accountability for actions. ,Negative
  The canteen's staff turnover leads to inconsistent service. ,Negative
  The hostel's plumbing system has frequent issues.  ,Negative
  The management's decision-making process lacks transparency. ,Negative
  The canteen's seating is uncomfortable for long periods. ,Negative
"  The hostel's walls are thin, leading to noise disturbances. ",Negative
  The management's communication about policy changes is lacking. ,Negative
  The canteen's menu options do not cater to diverse tastes. ,Negative
  The hostel's fire safety measures need improvement. ,Negative
  The management's handling of emergencies is inadequate. ,Negative
  The canteen's cleanliness is often below acceptable standards. ,Negative
  The hostel's communal kitchens are not well-maintained. ,Negative
  The management's response to maintenance requests is slow. ,Negative
  The canteen's menu does not offer enough vegan options. ,Negative
  The hostel's bathrooms need better ventilation. ,Negative
  The management needs to improve accessibility for differently-abled students. ,Negative
  The canteen's menu lacks options for those with food allergies. ,Negative
  The hostel's security procedures need to be more robust. ,Negative
 Rude stuff Way too expensive ,Negative
No Negative,Negative
 Breakfast was mass produced Not up to par with the rest of the hotel ,Negative
 thebreakfast was cold,Negative
 Drinks in the bar were extortionately expensive,Negative
 Shower over the bath Climbing in and out a bit dodgy ,Negative
 Smallest room I ve ever been to Many problems during the stay ,Negative
No Negative,Negative
 Reception staff was unhelpful and inexperienced,Negative
 The hand held shower Would have preferred traditional shower ,Negative
No Negative,Negative
 Room really small for the price bath too small I m 5 9 and I couldn t get a bath as legs couldn t fit in ,Negative
 Tiny bathrooms,Negative
 Very small rooms and no effort to rectify air cond issue,Negative
 No sky TV apart from news channel,Negative
No Negative,Negative
 All was OK,Negative
 Price of drinks ,Negative
No Negative,Negative
No Negative,Negative
 Nothing,Negative
 Our twin room was very small ,Negative
 Rooms are on the smaller side ,Negative
 The hotel restaurant was so so ,Negative
 Sink in the bathroom was too small,Negative
 The room was very small for 2 people,Negative
 Too many deposits ,Negative
No Negative,Negative
 quite a small bathroom but ,Negative
 The view we were at the back of the hotel,Negative
 Door handle broke fridge Didn t work,Negative
No Negative,Negative
 Nothing,Negative
No Negative,Negative
 expensive breakfast,Negative
 Small room not good view from room,Negative
 Nothing to dislike ,Negative
 Object to Service charge on the bill ,Negative
 far to expensive and very small room,Negative
 Free broadband was poor,Negative
 Air con unit very noisy,Negative
 nothing,Negative
 No room for luggage no bar fridge lack of tbags etc,Negative
 The room size and the bathroom was uncomfortabley small ,Negative
 The room was too small for a double You literally have to climb over the foot of the bed to get to the wardrobe ,Negative
 Caution still on hold on my credit card after 2 weeks ,Negative
 The check in took too long,Negative
No Negative,Negative
 Size of room small,Negative
 the light on the eyes when I sleep awake me it s not pleasant ,Negative
No Negative,Negative
 Small room noisy air conditioning,Negative
No Negative,Negative
 Drilling from renovation work,Negative
 Taxis stuck in traffic ,Negative
No Negative,Negative
 N A,Negative
 All good Nothing to complain about,Negative
 Nil,Negative
 not much space in the room,Negative
 Pool,Negative
 The room,Negative
No Negative,Negative
 Bathroom very small too small for anyone over 15 stone ,Negative
 Menu a bit simple but heaps of eating places nearby,Negative
 Nothing,Negative
 Noise method of charging credit cards attitude of staff ,Negative
 Rooms were too small,Negative
 Locattion,Negative
 The rooms were extremely small Wi Fi connection poor Cost of Breakfast high,Negative
 nothing,Negative
 The room felt a little chilly even with temp turned up ,Negative
 Room a little tight no refrigerator in room,Negative
 Only one person at the check in this could have been better Apart from that all was excellent ,Negative
No Negative,Negative
 Very small rooms,Negative
 Firmer bed,Negative
 Size of room too small limited breakfast for multinational visitors,Negative
 Room was tiny could hardly get round bed but then again we were hardly in room,Negative
 Didn t realise Spa facilities are not included in hotel price ,Negative
No Negative,Negative
 Continental breakfast is very poor compared to other hotel chains,Negative
 very small rooms even for London ,Negative
 Rubbish room Awful bathroom,Negative
 N A,Negative
 The room was compact to say the least You couldn t even walk around the bed,Negative
No Negative,Negative
No Negative,Negative
 A bit disappointed that there wasn t enough milk in the room for our coffee ,Negative
 Superior rooms are actually very basic so quite pricey for what it was without breakfast ,Negative
 Issues with TV remote control phone in room,Negative
 I have been over charged,Negative
No Negative,Negative
 Illumination of bathroom mirror,Negative
 Having to pay extra for use of pool guests should swim free Room view was of generator ,Negative
 Room could have been bigger,Negative
 staff at swimming pool,Negative
 The hotel and room was a little too cold for me and the drinks were too expensive for what they were ,Negative
 To renovate the hotel ,Negative
 Room too small ,Negative
 Staff not accomodating and friendly,Negative
 As above Couldn t get any channels on the tv ,Negative
 The tv could have been in a better position ,Negative
 Smaller room with narrower toilet,Negative
 Nothing,Negative
 The bed was a little uncomfortable as there was a noticeable dip in the centre,Negative
 The difference in the tariff price from one day to the next,Negative
No Negative,Negative
 Nothing,Negative
 Less service charge,Negative
No Negative,Negative
 Bed was a little hard ,Negative
 Nothing it was perfect ,Negative
No Negative,Negative
 Small room with extra large bed no much room to manoeuvre but OK for one night ,Negative
 The bed sinks a little,Negative
 Cooked breakfast not very hot More variety of yoghurt expected,Negative
No Negative,Negative
 More tea coffee sugar milk would be nice,Negative
 Nothing,Negative
 Maybe I had a side view,Negative
No Negative,Negative
No Negative,Negative
 very narrow between bathtube and washbasin,Negative
 No concerns on my part ,Negative
 I asked for water three times to be taken up to my room it didn t arrive ,Negative
 to pay 170 for a room then get asked to pay 20 to use the pool is a joke,Negative
 Not long enough,Negative
 The room was small however we were in London I don t like getting into the shower in the bathtub ,Negative
 price is a little expensive,Negative
 The small room size,Negative
 Duty manager receptionist house keeping charges rude customer service no immediate response,Negative
 No face cloth in bathroom,Negative
No Negative,Negative
 Cleaners trying to get in room to early 8 9,Negative
No Negative,Negative
No Negative,Negative
 The staff lacked any form of a smiling welcome at check in,Negative
 Everything,Negative
No Negative,Negative
 Very small bedroom ,Negative
 We booked this hotel as it was described as walking distance to US embassy but was too far to walk and had to get a tsxi,Negative
 Very mean on supply of milk in the room Extremely mean by not supplying bottled water I would expect better from a 4 Hotel,Negative
 Sv rt att f rst och g ra sig f rst dd hos personalen vars engelska ibland var v ldigt bristf llig ,Negative
 The room was small stayed her before it was holiday inn and room was excellent,Negative
 First room without heat ,Negative
 Rooms very small and basic complete contrast to public areas but very clean and functional,Negative
 Pool was cold and the jacuzzi wasn t working ,Negative
 Rooms need to be refurbished some rooms are very old,Negative
 Receptionists could smile,Negative
 The wine,Negative
 Elevators were very slow two were shut down the others constantly in use ,Negative
 That I have to pay for swimming pool 10 p,Negative
 The minibar tariff was unbelievably costly ,Negative
 Booking com said breakfast was included I Had to pay for it 17 ,Negative
No Negative,Negative
 Small rooms but big enough and clean ,Negative
No Negative,Negative
 Smal rooms,Negative
No Negative,Negative
 Nothing ,Negative
 The bed,Negative
 The chairs were uncomfortable to sit on for 2 days,Negative
 The room itself was extremely small and the bathroom likewise Worst room we have ever stayed in ,Negative
 I only stayed one night,Negative
 A tired hotel although the small room had been redecorated Parking downstairs bar expensive even for London,Negative
 the lifts were the slowest i have ever been in ,Negative
 My bathroom door didn t close fully,Negative
No Negative,Negative
 ,Negative
 Rubbish wifi not stable all the time makes me suffered,Negative
 The bathroom sink was too small with the cabinet on top it was hard to use,Negative
 WiFi could have been faster,Negative
 Grumpy reception ,Negative
 room design rationed drinks ,Negative
 The cost for food and beverage,Negative
 One of the lifts not working for all the time we were there ,Negative
 Room a bit too small,Negative
 Ridiculously small room for the price Having to put a security deposit on a room already paid for ,Negative
 Room was very small,Negative
No Negative,Negative
 internet was so slow not value for the money ,Negative
 Banging doors,Negative
 Some refurbishment works going on at my floor and so I could only use one of the lifts which was always extra busy ,Negative
 Breakfast was very poor,Negative
 Charge for pool out of action steam room and jacuzzi,Negative
 The room was tiny and there was no space to move around,Negative
No Negative,Negative
 Cooked breakfast disappointing and overpriced Thin walls in room Paying extra to use facilities,Negative
 Breakfast a little expensive,Negative
 towels smell room very small and too much noise,Negative
 The room was very very small there was an oversized chair in the room that blocked all the space Breakfast was very expensive and not nice,Negative
 No fridge,Negative
 Shower head didn t have enough pressure or spread Swimming pool wasn t free ,Negative
No Negative,Negative
 Hotel is terrible Lobby undercosntructions Room is small dirty,Negative
No Negative,Negative
 Bathroom too small and access around the bed too narrow ,Negative
 Bar prices very expensive,Negative
 poky little handbasin in bathroom tricky for wet shaving ,Negative
 Fire alarm at 6 am on Sunday,Negative
No Negative,Negative
 Only negative was fire alarm going off at 6am ,Negative
 Room was located next to elevators and was therefore quite noisy ,Negative
 Fire alarm going off at 6 am 5 times ,Negative
 Overcharged 50 deposited not had confirmation of it returned yet,Negative
 The room was slightly small but that s being picky,Negative
 Check out,Negative
 should of said before that there was work being done before that was loud,Negative
No Negative,Negative
 Pool and Breakfast are expensive ,Negative
No Negative,Negative
 Air con noisy and difficult to manage,Negative
No Negative,Negative
 Bar very expenive 2 drinks cost 20 ,Negative
 Mirror in bathroom so high I couldn t see in it Couldn t get wifi in my room at all ,Negative
 Having to pay for pool Breakfast was very expensive,Negative
 Bathroom could have been a little bigger ,Negative
No Negative,Negative
 London prices ,Negative
No Negative,Negative
No Negative,Negative
 Breakfast food quality not good,Negative
 Slow check in,Negative
 Bacon a little crispier ,Negative
 Sauna and Pool Area 10GBP per person and day extra ,Negative
 the lights suddenly kept flashing on from 11pm,Negative
 Nothing bad ,Negative
 All the room doors closed with a bang sound proofing was poor ,Negative
 extra charge to use pool,Negative
No Negative,Negative
 Whirring machine noise woke me up in middle of the night and kept going ,Negative
 View of building out of window,Negative
 The 10 fees for the swimming pool especially for children is not acceptable,Negative
 the room was very noisy at night you could hear water flowing in pipes and toilets flushing The shower water pressure was pathetic ,Negative
 Room too small,Negative
 Extra charge for spa access ,Negative
 Freezing cold tiny rooms No value for money except breakfast ,Negative
No Negative,Negative
 Very small bathroom ,Negative
 Check in slow,Negative
No Negative,Negative
 Breakfast was disappointing Could ve been a real double bed ,Negative
No Negative,Negative
 We walked in room and there was a stain on the bed and the toilet wasn t clean at all not happy,Negative
 The bathroom was all splashed due to no curtain or glass windows while showering This makes the floor wet slippery and dangerous ,Negative
No Negative,Negative
 Not enough milk for tea and coffee in my room room only 2 ,Negative
 More amenities could be presented in a 4 star hotel,Negative
 really bad wifi worst breakfast coffee ever Had to pay extra for espresso ,Negative
 No water on arrival as maintenance work being carried out ,Negative
No Negative,Negative
 room very small not reflected in the booking information,Negative
No Negative,Negative
 Bedroom too small probably worst in hotel as i booked through booking com and they allocate worst rooms on cheapest rates,Negative
 Initial tiny room with view of the fire exits ,Negative
No Negative,Negative
No Negative,Negative
No Negative,Negative
 breakfast to the room was cold and only partly correct of our order,Negative
 Can t think of anything ,Negative
 Very small room with a terrible view looking at the back of some tall buildings with lots of utility ducting ,Negative
 Room space too small,Negative
 Standard double bedroom is very small,Negative
 Tea making facilities lacking Not enough tea and milk 2 TBAGS AND 2 MILK PER DAY ,Negative
 Drilling from room next door Staff rude Woken up by a confused cleaner at 8 15am,Negative
 There could have been a better explanation of the heating controls Room was a bit cold ,Negative
 The room was small as we were put on the corner room ,Negative
No Negative,Negative
 The alarm went on but we not notified and reception will not pick the calls from us ,Negative
 The rooms are super small The breakfast was not at the level of a 4 star hotel ,Negative
No Negative,Negative
 Small room,Negative
